Ticker,Yahoo Ticker
1AD,1AD.AX
1AI,1AI.AX
4DX,4DX.AX
ACL,ACL.AX
ACR,ACR.AX
ACW,ACW.AX
ADO,ADO.AX
ADR,ADR.AX
AFP,AFP.AX
AGN,AGN.AX
AHC,AHC.AX
AHE,AHE.AX
ALA,ALA.AX
ALC,ALC.AX
AN1,AN1.AX
ANN,ANN.AX
ANR,ANR.AX
ARX,ARX.AX
AT1,AT1.AX
ATH,ATH.AX
ATX,ATX.AX
AVE,AVE.AX
AVH,AVH.AX
AVR,AVR.AX
AYA,AYA.AX
BB1,BB1.AX
BDX,BDX.AX
BIT,BIT.AX
BMT,BMT.AX
BOT,BOT.AX
BP8,BP8.AX
CAN,CAN.AX
CBL,CBL.AX
CC5,CC5.AX
CGS,CGS.AX
CHM,CHM.AX
CMB,CMB.AX
CMP,CMP.AX
COH,COH.AX
COV,COV.AX
CQT,CQT.AX
CSL,CSL.AX
CSX,CSX.AX
CTE,CTE.AX
CTQ,CTQ.AX
CU6,CU6.AX
CUV,CUV.AX
CVB,CVB.AX
CYC,CYC.AX
CYP,CYP.AX
DOC,DOC.AX
DVL,DVL.AX
DXB,DXB.AX
EBO,EBO.AX
EBR,EBR.AX
ECS,ECS.AX
EMD,EMD.AX
EMV,EMV.AX
ENL,ENL.AX
ENP,ENP.AX
EPI,EPI.AX
EPN,EPN.AX
EYE,EYE.AX
FCG,FCG.AX
FPH,FPH.AX
FRE,FRE.AX
GLH,GLH.AX
GSS,GSS.AX
GTG,GTG.AX
HIQ,HIQ.AX
HLS,HLS.AX
HMD,HMD.AX
HXL,HXL.AX
IBX,IBX.AX
ICR,ICR.AX
IDT,IDT.AX
IDX,IDX.AX
IIQ,IIQ.AX
ILA,ILA.AX
IMC,IMC.AX
IME,IME.AX
IMM,IMM.AX
IMR,IMR.AX
IMU,IMU.AX
IPD,IPD.AX
IVG,IVG.AX
IVX,IVX.AX
IXC,IXC.AX
LDX,LDX.AX
LGP,LGP.AX
LTP,LTP.AX
M7T,M7T.AX
MAP,MAP.AX
MEM,MEM.AX
MSB,MSB.AX
MVF,MVF.AX
MVP,MVP.AX
MX1,MX1.AX
MYX,MYX.AX
NAN,NAN.AX
NC6,NC6.AX
NEU,NEU.AX
NOX,NOX.AX
NSB,NSB.AX
NTI,NTI.AX
NUZ,NUZ.AX
NX1,NX1.AX
NXN,NXN.AX
NYR,NYR.AX
OCA,OCA.AX
OCC,OCC.AX
OIL,OIL.AX
ONE,ONE.AX
OPT,OPT.AX
OSL,OSL.AX
OSX,OSX.AX
PAB,PAB.AX
PAR,PAR.AX
PCK,PCK.AX
PEB,PEB.AX
PER,PER.AX
PGC,PGC.AX
PIQ,PIQ.AX
PKP,PKP.AX
PME,PME.AX
PNV,PNV.AX
PTX,PTX.AX
PYC,PYC.AX
RAC,RAC.AX
RAD,RAD.AX
RCE,RCE.AX
REG,REG.AX
RGT,RGT.AX
RHC,RHC.AX
RHT,RHT.AX
RHY,RHY.AX
RMD,RMD.AX
RNV,RNV.AX
RYM,RYM.AX
SDI,SDI.AX
SHG,SHG.AX
SHL,SHL.AX
SIG,SIG.AX
SLD,SLD.AX
SNT,SNT.AX
SNZ,SNZ.AX
SOM,SOM.AX
SPL,SPL.AX
TD1,TD1.AX
TLX,TLX.AX
TRI,TRI.AX
TRJ,TRJ.AX
TRP,TRP.AX
TRU,TRU.AX
TTX,TTX.AX
UBI,UBI.AX
UCM,UCM.AX
VBS,VBS.AX
VFX,VFX.AX
VFY,VFY.AX
VHL,VHL.AX
VIT,VIT.AX
VLS,VLS.AX
ZLD,ZLD.AX
1TT,1TT.AX
360,360.AX
3DP,3DP.AX
4DS,4DS.AX
5GN,5GN.AX
8CO,8CO.AX
ACE,ACE.AX
AD8,AD8.AX
ADS,ADS.AX
AI1,AI1.AX
AIM,AIM.AX
AMO,AMO.AX
APX,APX.AX
AR9,AR9.AX
ATA,ATA.AX
ATV,ATV.AX
AV1,AV1.AX
AVA,AVA.AX
AXE,AXE.AX
BCC,BCC.AX
BEO,BEO.AX
BGE,BGE.AX
BLG,BLG.AX
BPG,BPG.AX
